Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

02:28:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:27 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:28 PM     all      0.25      0.00      0.63      0.00      0.00     99.12
02:29:28 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:28 PM       1      1.03      0.00      3.09      0.00      0.00     95.88
02:29:28 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:28 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
02:29:28 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:28 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:28 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:28 PM       7      0.00      0.00      1.98      0.00      0.00     98.02

02:29:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:29 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:29 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:29 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:29 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:29 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:29 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:29 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:29 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:29 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:30 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:30 PM       0      0.99      0.00      0.99      0.00      0.00     98.02
02:29:30 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:30 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:30 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:30 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:30 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:30 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:30 PM       7      0.99      0.00      0.99      0.00      0.00     98.02

02:29:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:31 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
02:29:31 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
02:29:31 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:31 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:31 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:31 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:31 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:31 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
02:29:31 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:32 PM     all      0.25      0.00      0.38      0.13      0.00     99.25
02:29:32 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
02:29:32 PM       1      0.00      0.00      2.11      1.05      0.00     96.84
02:29:32 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:32 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:32 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:32 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:32 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
02:29:32 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:33 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
02:29:33 PM       0      1.98      0.00      0.00      0.00      0.00     98.02
02:29:33 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:33 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:33 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

02:29:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:34 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
02:29:34 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
02:29:34 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:34 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:34 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:34 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:34 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:34 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
02:29:34 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:35 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:29:35 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:35 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:35 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:35 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
