Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 14:37:11,wlp3s0,12.00,0.00,2.90,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:12,enp0s31f6,2404.00,956.00,3555.62,65.40,0.00,0.00,0.00,29.13
2018-09-07 14:37:12,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:12,wlp3s0,7.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:13,enp0s31f6,2404.00,962.00,3555.62,65.81,0.00,0.00,0.00,29.13
2018-09-07 14:37:13,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:13,wlp3s0,6.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:14,enp0s31f6,2260.00,916.00,3343.89,62.64,0.00,0.00,0.00,27.39
2018-09-07 14:37:14,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:14,wlp3s0,4.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:15,enp0s31f6,2304.00,928.00,3408.54,63.46,0.00,0.00,0.00,27.92
2018-09-07 14:37:15,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:15,wlp3s0,13.00,0.00,2.68,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:16,enp0s31f6,2404.00,967.00,3555.62,66.15,0.00,0.00,0.00,29.13
2018-09-07 14:37:16,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:16,wlp3s0,3.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:17,enp0s31f6,2367.00,941.00,3502.51,64.35,0.00,0.00,0.00,28.69
2018-09-07 14:37:17,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:17,wlp3s0,8.00,1.00,1.56,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:37:18,enp0s31f6,2198.00,889.00,3249.99,60.79,0.00,0.00,0.00,26.62
2018-09-07 14:37:18,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:18,wlp3s0,1.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:19,enp0s31f6,2406.00,970.00,3553.56,66.34,0.00,0.00,0.00,29.11
2018-09-07 14:37:19,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:19,wlp3s0,3.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:20,enp0s31f6,2410.00,968.00,3555.51,66.23,0.00,0.00,0.00,29.13
2018-09-07 14:37:20,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:20,wlp3s0,7.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:21,enp0s31f6,2232.00,905.00,3301.80,61.90,0.00,0.00,0.00,27.05
2018-09-07 14:37:21,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:21,wlp3s0,1.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:22,enp0s31f6,2335.00,941.00,3452.50,64.36,0.00,0.00,0.00,28.28
2018-09-07 14:37:22,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:22,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:23,enp0s31f6,2406.00,1012.00,3556.59,69.24,0.00,0.00,0.00,29.14
2018-09-07 14:37:23,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:23,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:24,enp0s31f6,2344.00,957.00,3460.91,65.46,0.00,0.00,0.00,28.35
2018-09-07 14:37:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:24,wlp3s0,13.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:25,enp0s31f6,2227.00,921.00,3293.81,62.99,0.00,0.00,0.00,26.98
2018-09-07 14:37:25,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:37:25,wlp3s0,8.00,1.00,0.87,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:37:26,enp0s31f6,2406.00,985.00,3554.92,67.37,0.00,0.00,0.00,29.12
2018-09-07 14:37:26,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
