Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:25:17,wlp3s0,7.00,1.00,1.40,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:18,enp0s31f6,2410.00,963.00,3552.69,65.82,0.00,0.00,0.00,29.10
2018-09-07 15:25:18,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:18,wlp3s0,17.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:19,enp0s31f6,2319.00,931.00,3420.45,63.65,0.00,0.00,0.00,28.02
2018-09-07 15:25:19,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:19,wlp3s0,12.00,0.00,2.14,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:20,enp0s31f6,2257.00,898.00,3330.13,61.39,0.00,0.00,0.00,27.28
2018-09-07 15:25:20,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:20,wlp3s0,1.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:21,enp0s31f6,2409.00,965.00,3552.63,65.97,0.00,0.00,0.00,29.10
2018-09-07 15:25:21,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:21,wlp3s0,4.00,0.00,0.87,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:22,enp0s31f6,2408.00,971.00,3552.71,66.39,0.00,0.00,0.00,29.10
2018-09-07 15:25:22,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:22,wlp3s0,10.00,0.00,1.35,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:23,enp0s31f6,2185.00,877.00,3221.14,59.95,0.00,0.00,0.00,26.39
2018-09-07 15:25:23,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:23,wlp3s0,1.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:24,enp0s31f6,2391.00,981.00,3528.93,67.07,0.00,0.00,0.00,28.91
2018-09-07 15:25:24,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:24,wlp3s0,5.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:25,enp0s31f6,2414.00,976.00,3555.41,66.80,0.00,0.00,0.00,29.13
2018-09-07 15:25:25,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
